| i: 10700 | Train Accuracy: 0.46000000834465027 | Train Loss: 1.4484812021255493 | Test Accuracy: 0.24240000545978546 | Test Loss: 2.5130081176757812 |
| i: 10800 | Train Accuracy: 0.4544000029563904 | Train Loss: 1.4598878622055054 | Test Accuracy: 0.23819999396800995 | Test Loss: 2.5213661193847656 |
| i: 10900 | Train Accuracy: 0.46140000224113464 | Train Loss: 1.454413652420044 | Test Accuracy: 0.24400000274181366 | Test Loss: 2.513909101486206 |
| i: 11000 | Train Accuracy: 0.45339998602867126 | Train Loss: 1.457498550415039 | Test Accuracy: 0.24220000207424164 | Test Loss: 2.5235002040863037 |
| i: 11100 | Train Accuracy: 0.4535999894142151 | Train Loss: 1.455737590789795 | Test Accuracy: 0.2401999980211258 | Test Loss: 2.519397258758545 |
| i: 11200 | Train Accuracy: 0.44600000977516174 | Train Loss: 1.4563461542129517 | Test Accuracy: 0.2409999966621399 | Test Loss: 2.533456802368164 |
| i: 11300 | Train Accuracy: 0.45840001106262207 | Train Loss: 1.4469046592712402 | Test Accuracy: 0.24619999527931213 | Test Loss: 2.531095504760742 |
| i: 11400 | Train Accuracy: 0.4449999928474426 | Train Loss: 1.4715181589126587 | Test Accuracy: 0.23420000076293945 | Test Loss: 2.540595769882202 |
| i: 11500 | Train Accuracy: 0.4546000063419342 | Train Loss: 1.4583925008773804 | Test Accuracy: 0.24220000207424164 | Test Loss: 2.540207862854004 |
| i: 11600 | Train Accuracy: 0.45739999413490295 | Train Loss: 1.4483038187026978 | Test Accuracy: 0.2433999925851822 | Test Loss: 2.539792776107788 |
| i: 11700 | Train Accuracy: 0.4586000144481659 | Train Loss: 1.4443801641464233 | Test Accuracy: 0.2401999980211258 | Test Loss: 2.541022300720215 |
| i: 11800 | Train Accuracy: 0.4514000117778778 | Train Loss: 1.4544365406036377 | Test Accuracy: 0.23899999260902405 | Test Loss: 2.54956316947937 |
| i: 11900 | Train Accuracy: 0.45820000767707825 | Train Loss: 1.4430431127548218 | Test Accuracy: 0.23800000548362732 | Test Loss: 2.551628828048706 |
| i: 12000 | Train Accuracy: 0.45500001311302185 | Train Loss: 1.4515187740325928 | Test Accuracy: 0.23819999396800995 | Test Loss: 2.55971622467041 |
| i: 12100 | Train Accuracy: 0.4580000042915344 | Train Loss: 1.4429816007614136 | Test Accuracy: 0.24539999663829803 | Test Loss: 2.5501961708068848 |
| i: 12200 | Train Accuracy: 0.4652000069618225 | Train Loss: 1.4381855726242065 | Test Accuracy: 0.23600000143051147 | Test Loss: 2.549240827560425 |
| i: 12300 | Train Accuracy: 0.4675999879837036 | Train Loss: 1.4364519119262695 | Test Accuracy: 0.24379999935626984 | Test Loss: 2.553912401199341 |
| i: 12400 | Train Accuracy: 0.46480000019073486 | Train Loss: 1.4361830949783325 | Test Accuracy: 0.2425999939441681 | Test Loss: 2.568213701248169 |
| i: 12500 | Train Accuracy: 0.4528000056743622 | Train Loss: 1.454926609992981 | Test Accuracy: 0.23000000417232513 | Test Loss: 2.5677099227905273 |
| i: 12600 | Train Accuracy: 0.46320000290870667 | Train Loss: 1.4405055046081543 | Test Accuracy: 0.2370000034570694 | Test Loss: 2.557661533355713 |
| i: 12700 | Train Accuracy: 0.47099998593330383 | Train Loss: 1.4287396669387817 | Test Accuracy: 0.24199999868869781 | Test Loss: 2.5558366775512695 |
| i: 12800 | Train Accuracy: 0.46619999408721924 | Train Loss: 1.4314265251159668 | Test Accuracy: 0.2425999939441681 | Test Loss: 2.560802459716797 |
| i: 12900 | Train Accuracy: 0.4562000036239624 | Train Loss: 1.4548496007919312 | Test Accuracy: 0.24140000343322754 | Test Loss: 2.58492374420166 |
| i: 13000 | Train Accuracy: 0.44519999623298645 | Train Loss: 1.4711809158325195 | Test Accuracy: 0.2370000034570694 | Test Loss: 2.573918342590332 |
| i: 13100 | Train Accuracy: 0.46700000762939453 | Train Loss: 1.4344216585159302 | Test Accuracy: 0.23600000143051147 | Test Loss: 2.5617282390594482 |
| i: 13200 | Train Accuracy: 0.4674000144004822 | Train Loss: 1.4317123889923096 | Test Accuracy: 0.23880000412464142 | Test Loss: 2.568570137023926 |
| i: 13300 | Train Accuracy: 0.4643999934196472 | Train Loss: 1.4298136234283447 | Test Accuracy: 0.23919999599456787 | Test Loss: 2.5730223655700684 |
| i: 13400 | Train Accuracy: 0.46799999475479126 | Train Loss: 1.4284675121307373 | Test Accuracy: 0.24240000545978546 | Test Loss: 2.5760135650634766 |
| i: 13500 | Train Accuracy: 0.4503999948501587 | Train Loss: 1.4548296928405762 | Test Accuracy: 0.23659999668598175 | Test Loss: 2.579746961593628 |
| i: 13600 | Train Accuracy: 0.4580000042915344 | Train Loss: 1.4429024457931519 | Test Accuracy: 0.23360000550746918 | Test Loss: 2.5720248222351074 |
| i: 13700 | Train Accuracy: 0.45660001039505005 | Train Loss: 1.449399709701538 | Test Accuracy: 0.23579999804496765 | Test Loss: 2.585916519165039 |
| i: 13800 | Train Accuracy: 0.45399999618530273 | Train Loss: 1.4403138160705566 | Test Accuracy: 0.241799995303154 | Test Loss: 2.5811946392059326 |
| i: 13900 | Train Accuracy: 0.4740000069141388 | Train Loss: 1.4218195676803589 | Test Accuracy: 0.23899999260902405 | Test Loss: 2.578538179397583 |
